PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,age_range,count
1,0,3,Braund,male,22,1,0,A/5 21171,7.25,S,adult,1
2,1,1,Cumings,female,38,1,0,PC 17599,71.2833,C,adult,1
3,1,3,Heikkinen,female,26,0,0,STON/O2. 3101282,7.925,S,adult,1
4,1,1,Futrelle,female,35,1,0,113803,53.1,S,adult,1
5,0,3,Allen,male,35,0,0,373450,8.05,S,adult,1
6,0,3,Moran,male,30,0,0,330877,8.4583,Q,adult,1
7,0,1,McCarthy,male,54,0,0,17463,51.8625,S,adult,1
8,0,3,Palsson,male,2,3,1,349909,21.075,S,child,1
9,1,3,Johnson,female,27,0,2,347742,11.1333,S,adult,1
10,1,2,Nasser,female,14,1,0,237736,30.0708,C,teen,1
11,1,3,Sandstrom,female,4,1,1,PP 9549,16.7,S,child,1
12,1,1,Bonnell,female,58,0,0,113783,26.55,S,adult,1
13,0,3,Saundercock,male,20,0,0,A/5. 2151,8.05,S,teen,1
14,0,3,Andersson,male,39,1,5,347082,31.275,S,adult,1
15,0,3,Vestrom,female,14,0,0,350406,7.8542,S,teen,1
16,1,2,Hewlett,female,55,0,0,248706,16.0,S,adult,1
17,0,3,Rice,male,2,4,1,382652,29.125,Q,child,1
18,1,2,Williams,male,30,0,0,244373,13.0,S,adult,1
19,0,3,Vander Planke,female,31,1,0,345763,18.0,S,adult,1
20,1,3,Masselmani,female,30,0,0,2649,7.225,C,adult,1
21,0,2,Fynney,male,35,0,0,239865,26.0,S,adult,1
22,1,2,Beesley,male,34,0,0,248698,13.0,S,adult,1
23,1,3,McGowan,female,15,0,0,330923,8.0292,Q,teen,1
24,1,1,Sloper,male,28,0,0,113788,35.5,S,adult,1
25,0,3,Palsson,female,8,3,1,349909,21.075,S,child,1
26,1,3,Asplund,female,38,1,5,347077,31.3875,S,adult,1
27,0,3,Emir,male,30,0,0,2631,7.225,C,adult,1
28,0,1,Fortune,male,19,3,2,19950,263.0,S,teen,1
29,1,3,O'Dwyer,female,30,0,0,330959,7.8792,Q,adult,1
30,0,3,Todoroff,male,30,0,0,349216,7.8958,S,adult,1
31,0,1,Uruchurtu,male,40,0,0,PC 17601,27.7208,C,adult,1
32,1,1,Spencer,female,30,1,0,PC 17569,146.5208,C,adult,1
33,1,3,Glynn,female,30,0,0,335677,7.75,Q,adult,1
34,0,2,Wheadon,male,66,0,0,C.A. 24579,10.5,S,adult,1
35,0,1,Meyer,male,28,1,0,PC 17604,82.1708,C,adult,1
